ClientMacAddress,RxRateBitrate,TxRateBitrate,RxRateChWidth,TxRateChWidth
70:6d:ec:13:00:33,390000,585100,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,234000,585100,80,80
70:6d:ec:13:00:33,6000,1020600,20,80
70:6d:ec:13:00:33,390000,585100,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,468000,585100,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,650000,650000,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,351000,526600,80,80
70:6d:ec:13:00:33,864800,907400,80,80
70:6d:ec:13:00:33,351000,585100,80,80
70:6d:ec:13:00:33,1200900,1134200,80,80
70:6d:ec:13:00:33,468000,585100,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,390000,520000,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,390000,585100,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,520000,650000,80,80
70:bb:e9:8c:d3:4a,433300,433300,80,80
70:bb:e9:8c:d3:4a,390000,433300,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,520000,585100,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,520000,780000,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,351000,585100,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,520000,650000,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,390000,520000,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,520000,526600,80,80
70:6d:ec:13:00:33,1200900,1134200,80,80
70:6d:ec:13:00:33,468000,585100,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,390000,585000,80,80
70:6d:ec:13:00:33,720600,907400,80,80
70:6d:ec:13:00:33,390000,780000,80,80
70:6d:ec:13:00:33,720600,6000,80,20
70:6d:ec:13:00:33,390000,520000,80,80
70:6d:ec:13:00:33,720600,6000,80,20
70:6d:ec:13:00:33,390000,520000,80,80
70:6d:ec:13:00:3c,585100,780000,80,80
70:6d:ec:13:00:33,720600,6000,80,20
70:6d:ec:13:00:33,390000,468000,80,80
70:6d:ec:13:00:3c,585100,780000,80,80
70:6d:ec:13:00:33,390000,468000,80,80
70:6d:ec:13:00:3c,526600,866700,80,80
70:6d:ec:13:00:33,390000,468000,80,80
70:6d:ec:13:00:3c,585000,780000,80,80
70:6d:ec:13:00:3c,585000,866700,80,80
70:6d:ec:13:00:3c,650000,780000,80,80
70:6d:ec:13:00:3c,780000,866700,80,80
70:6d:ec:13:00:3c,650000,866700,80,80
70:6d:ec:13:00:3c,585000,780000,80,80
70:6d:ec:13:00:3c,650000,650000,80,80
70:6d:ec:13:00:3c,12000,866700,20,80
70:6d:ec:13:00:3c,9000,866700,20,80
70:6d:ec:13:00:3c,6000,866700,20,80
70:6d:ec:13:00:3c,6000,866700,20,80
70:6d:ec:13:00:3c,6000,866700,20,80
70:6d:ec:13:00:3c,9000,866700,20,80
70:6d:ec:13:00:3c,9000,866700,20,80
70:6d:ec:13:00:3c,6000,866700,20,80
70:6d:ec:13:00:3c,9000,866700,20,80
70:6d:ec:13:00:3c,6000,866700,20,80
70:6d:ec:13:00:33,650000,866700,80,80
70:6d:ec:13:00:33,6000,866700,20,80
70:6d:ec:13:00:33,58600,866700,80,80
70:6d:ec:13:00:33,48000,866700,20,80
70:6d:ec:13:00:33,9000,866700,20,80
70:6d:ec:13:00:33,6000,866700,20,80
70:6d:ec:13:00:33,1200900,1134200,80,80
70:6d:ec:13:00:33,780000,866700,80,80
70:6d:ec:13:00:33,6000,272200,20,80
70:6d:ec:13:00:33,24000,866700,20,80
70:6d:ec:13:00:33,1080600,907400,80,80
70:6d:ec:13:00:33,585000,866700,80,80
70:6d:ec:13:00:33,960700,907400,80,80
70:6d:ec:13:00:33,650000,780000,80,80
70:6d:ec:13:00:33,1080600,1134200,80,80
70:6d:ec:13:00:33,585000,780000,80,80
70:6d:ec:13:00:33,1080600,1020600,80,80
70:6d:ec:13:00:33,585000,866700,80,80
70:6d:ec:13:00:33,864800,1020600,80,80
70:6d:ec:13:00:33,780000,780000,80,80
70:6d:ec:13:00:33,960700,1134200,80,80
70:6d:ec:13:00:33,650000,866700,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,585000,866700,80,80
70:6d:ec:13:00:33,6000,1020600,20,80
70:6d:ec:13:00:33,650000,866700,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,780000,866700,80,80
70:6d:ec:13:00:33,1080600,1134200,80,80
70:6d:ec:13:00:33,650000,866700,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,6000,780000,20,80
70:6d:ec:13:00:33,960700,1134200,80,80
70:6d:ec:13:00:33,6000,702000,20,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,6000,780000,20,80
70:6d:ec:13:00:33,960700,1134200,80,80
70:6d:ec:13:00:33,6000,650000,20,80
70:6d:ec:13:00:33,6000,1020600,20,80
70:6d:ec:13:00:33,585100,866700,80,80
70:6d:ec:13:00:33,960700,1020600,80,80
70:6d:ec:13:00:33,12000,780000,20,80
70:6d:ec:13:00:33,6000,1020600,20,80
70:6d:ec:13:00:33,6000,650000,20,80
70:6d:ec:13:00:33,1200900,907400,80,80
70:6d:ec:13:00:33,48000,866700,20,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,526600,780000,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,585000,650000,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,780000,866700,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:6d:ec:13:00:33,1200900,907400,80,80
70:6d:ec:13:00:33,626900,907400,80,80
70:6d:ec:13:00:33,576400,907400,80,80
70:6d:ec:13:00:33,6000,816700,20,80
70:6d:ec:13:00:33,216100,408300,80,80
70:6d:ec:13:00:33,626900,592100,80,80
70:6d:ec:13:00:33,576400,544300,80,80
70:6d:ec:13:00:33,6000,544300,20,80
70:6d:ec:13:00:33,576400,680600,80,80
70:6d:ec:13:00:33,6000,544300,20,80
70:6d:ec:13:00:33,6000,544300,20,80
70:6d:ec:13:00:33,6000,680600,20,80
70:6d:ec:13:00:33,6000,680600,20,80
70:6d:ec:13:00:33,6000,592100,20,80
70:6d:ec:13:00:33,576400,544300,80,80
70:6d:ec:13:00:33,576400,544300,80,80
70:6d:ec:13:00:33,6000,544300,20,80
70:6d:ec:13:00:33,6000,544300,20,80
70:6d:ec:13:00:33,626900,544300,80,80
70:6d:ec:13:00:33,626900,592100,80,80
70:6d:ec:13:00:33,6000,816700,20,80
70:6d:ec:13:00:33,6000,544300,20,80
70:6d:ec:13:00:33,6000,816700,20,80
70:6d:ec:13:00:33,6000,272200,20,80
70:6d:ec:13:00:33,6000,408300,20,80
70:6d:ec:13:00:33,288200,592100,80,80
70:6d:ec:13:00:33,6000,272200,20,80
70:6d:ec:13:00:33,6000,408300,20,80
70:6d:ec:13:00:33,288200,408300,80,80
70:6d:ec:13:00:33,6000,408300,20,80
70:6d:ec:13:00:33,288200,408300,80,80
70:6d:ec:13:00:33,6000,408300,20,80
70:6d:ec:13:00:33,6000,408300,20,80
70:6d:ec:13:00:33,6000,544300,20,80
70:6d:ec:13:00:33,216100,592100,80,80
70:6d:ec:13:00:33,6000,592100,20,80
70:6d:ec:13:00:33,6000,592100,20,80
70:6d:ec:13:00:33,6000,680600,20,80
70:6d:ec:13:00:33,6000,680600,20,80
70:6d:ec:13:00:33,6000,680600,20,80
70:6d:ec:13:00:33,720600,816700,80,80
70:6d:ec:13:00:33,960700,1134200,80,80
70:6d:ec:13:00:33,6000,1020600,20,80
70:6d:ec:13:00:3c,6000,6000,20,20
70:6d:ec:13:00:3c,6000,408300,20,80
70:6d:ec:13:00:3c,6000,408300,20,80
70:6d:ec:13:00:3c,6000,136100,20,80
70:bb:e9:8c:d3:4a,6000,6000,20,20
70:6d:ec:13:00:3c,626900,408300,80,80
70:bb:e9:8c:d3:4a,6000,6000,20,20
70:6d:ec:13:00:3c,626900,680600,80,80
70:bb:e9:8c:d3:4a,6000,6000,20,20
70:6d:ec:13:00:3c,6000,680600,20,80
70:6d:ec:13:00:3c,576400,680600,80,80
70:bb:e9:8c:d3:4a,6000,6000,20,20
70:6d:ec:13:00:3c,576400,680600,80,80
70:6d:ec:13:00:3c,6000,680600,20,80
70:6d:ec:13:00:3c,576400,816700,80,80
70:6d:ec:13:00:3c,6000,816700,20,80
70:6d:ec:13:00:3c,6000,816700,80,80
70:6d:ec:13:00:3c,6000,816700,20,80
70:6d:ec:13:00:3c,6000,816700,20,80
70:6d:ec:13:00:3c,6000,816700,20,80
70:6d:ec:13:00:3c,720600,816700,80,80
70:6d:ec:13:00:3c,720600,816700,80,80
70:6d:ec:13:00:3c,17200,6000,20,20
70:6d:ec:13:00:3c,17200,6000,20,20
70:6d:ec:13:00:3c,432300,592100,80,80
70:6d:ec:13:00:3c,6000,592100,20,80
70:6d:ec:13:00:3c,864800,907400,80,80
70:6d:ec:13:00:3c,576400,816700,80,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:6d:ec:13:00:3c,432300,816700,80,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:6d:ec:13:00:3c,6000,816700,20,80
70:6d:ec:13:00:3c,432300,136100,80,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,433300,433300,80,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,433300,433300,80,80
70:bb:e9:8c:d3:4a,433300,433300,80,80
70:bb:e9:8c:d3:4a,433300,433300,80,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,433300,433300,80,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,6000,292600,20,80
70:bb:e9:8c:d3:4a,263300,433300,80,80
70:bb:e9:8c:d3:4a,263300,433300,80,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:bb:e9:8c:d3:4a,263300,433300,80,80
70:bb:e9:8c:d3:4a,234000,130000,80,80
70:bb:e9:8c:d3:4a,234000,200000,80,40
70:bb:e9:8c:d3:4a,325000,200000,80,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:bb:e9:8c:d3:4a,433300,200000,80,40
70:bb:e9:8c:d3:4a,433300,200000,80,40
6a:33:2c:00:3d:e0,6000,6000,20,20
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,585100,20,80
70:bb:e9:8c:d3:4a,433300,200000,80,40
6a:33:2c:00:3d:e0,6000,585100,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,433300,200000,80,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,433300,200000,80,40
6a:33:2c:00:3d:e0,6000,780000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,702000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,702000,20,80
70:bb:e9:8c:d3:4a,433300,200000,80,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,702000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,433300,200000,80,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,702000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,180000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,433300,200000,80,40
6a:33:2c:00:3d:e0,6000,585100,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,433300,200000,80,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,585100,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,57800,20,20
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,57800,20,20
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,585100,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,585100,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,520000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,520000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,520000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,585100,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,585100,20,80
70:bb:e9:8c:d3:4a,433300,180000,80,40
6a:33:2c:00:3d:e0,6000,585100,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
6a:33:2c:00:3d:e0,6000,650000,20,80
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:bb:e9:8c:d3:4a,433300,200000,80,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,6000,816700,20,80
70:6d:ec:13:00:33,135000,450000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,6000,907400,20,80
70:6d:ec:13:00:33,270000,270000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,864800,907400,80,80
70:6d:ec:13:00:33,121500,150000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,432300,907400,80,80
70:6d:ec:13:00:33,270000,270000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,288200,408300,80,80
70:6d:ec:13:00:33,121500,150000,40,40
70:bb:e9:8c:d3:4a,433300,200000,80,40
70:6d:ec:13:00:33,288200,408300,80,80
70:6d:ec:13:00:33,121500,150000,40,40
70:bb:e9:8c:d3:4a,433300,200000,80,40
70:6d:ec:13:00:33,121500,150000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,243000,270000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,121500,360000,40,40
70:bb:e9:8c:d3:4a,433300,200000,80,40
70:6d:ec:13:00:33,270000,270000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,121500,150000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,243000,270000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,121500,270000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,270000,270000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
70:6d:ec:13:00:33,270000,150000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,121500,121500,40,40
70:bb:e9:8c:d3:4a,433300,200000,80,40
72:6d:ec:13:00:33,216000,121500,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,243000,121500,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,135000,6000,40,20
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,135000,6000,40,20
70:bb:e9:8c:d3:4a,433300,200000,80,40
72:6d:ec:13:00:33,270000,364500,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,270000,6000,40,20
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,135000,6000,40,20
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,135000,405000,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,135000,6000,40,20
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,162000,364500,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,243000,364500,40,40
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,243000,6000,40,20
70:bb:e9:8c:d3:4a,6000,200000,20,40
72:6d:ec:13:00:33,135000,6000,40,20
70:bb:e9:8c:d3:4a,6000,433300,20,80
72:6d:ec:13:00:33,135000,6000,40,20
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:6d:ec:13:00:33,6000,1134200,20,80
72:6d:ec:13:00:33,270000,450000,40,40
70:bb:e9:8c:d3:4a,433300,433300,80,80
70:6d:ec:13:00:33,1080600,1134200,80,80
72:6d:ec:13:00:33,270000,6000,40,20
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:6d:ec:13:00:33,6000,1134200,20,80
72:6d:ec:13:00:33,135000,6000,40,20
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:6d:ec:13:00:33,6000,1134200,20,80
72:6d:ec:13:00:33,270000,6000,40,20
70:bb:e9:8c:d3:4a,433300,433300,80,80
70:6d:ec:13:00:33,6000,1134200,20,80
72:6d:ec:13:00:33,135000,6000,40,20
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:6d:ec:13:00:33,206500,1134200,20,80
70:6d:ec:13:00:33,40500,6000,40,20
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
70:6d:ec:13:00:33,6000,1134200,20,80
70:bb:e9:8c:d3:4a,6000,433300,20,80
72:6d:ec:13:00:33,1080600,680600,80,80
70:bb:e9:8c:d3:4a,433300,433300,80,80
72:6d:ec:13:00:33,960700,1134200,80,80
72:6d:ec:13:00:33,162000,121500,40,40
70:bb:e9:8c:d3:4a,6000,433300,20,80
