"id","TimeStamp","AccessPoint","IpAddress","Ipv6Address","Assigned","AssignedDateFormat","Hostname","ClientMacAddress","AssociatedSSID","Band","Ports","RSSI","RxBytes","TxBytes","RxPackets","TxPackets","RxRateBitrate","TxRateBitrate","RxRateChWidth","TxRateChWidth","RxRateHt","TxRateHt","RxRateMcs","TxRateMcs","RxRateSgi","TxRateSgi","TxFailed","TxOffset","TxRetries","RxRateNss","RxRateVht","TxRateNss","TxRateVht","UserType","locationid","customerid"
"1",NULL,,NULL,NULL,"2021-09-04 08:15:51",NULL,NULL,"3e:5a:df:69:48:f9",NULL,NULL,NULL,NULL,"909090432.00","67455676416.00","55758.00","343758.00","12.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55758.00",NULL,"55758.00",NULL,NULL,NULL,NULL,"0",NULL,NULL
"2",NULL,,NULL,NULL,"2021-09-04 08:15:51",NULL,NULL,"3e:5a:df:69:48:f9",NULL,NULL,NULL,NULL,"909090432.00","67455676416.00","55758.00","343758.00","12.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55758.00",NULL,"55758.00",NULL,NULL,NULL,NULL,"0",NULL,NULL
"3",NULL,,NULL,NULL,"2021-09-04 08:15:51",NULL,NULL,"3e:5a:df:69:48:f9",NULL,NULL,NULL,NULL,"909090432.00","67455676416.00","55758.00","343758.00","12.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55758.00",NULL,"55758.00",NULL,NULL,NULL,NULL,"0",NULL,NULL
"4",NULL,,NULL,NULL,"2021-09-04 08:15:51",NULL,NULL,"3e:5a:df:69:48:f9",NULL,NULL,NULL,NULL,"909090432.00","67455676416.00","55758.00","343758.00","12.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55758.00",NULL,"55758.00",NULL,NULL,NULL,NULL,"0",NULL,NULL
"5",NULL,,NULL,NULL,"2021-09-04 08:15:51",NULL,NULL,"3e:5a:df:69:48:f9",NULL,NULL,NULL,NULL,"909090432.00","67455676416.00","55758.00","343758.00","12.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55758.00",NULL,"55758.00",NULL,NULL,NULL,NULL,"0",NULL,NULL
"6",NULL,,NULL,NULL,"2021-09-04 08:15:51",NULL,NULL,"3e:5a:df:69:48:f9",NULL,NULL,NULL,NULL,"909090432.00","67455676416.00","55758.00","343758.00","12.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55758.00",NULL,"55758.00",NULL,NULL,NULL,NULL,"0",NULL,NULL
"7",NULL,,NULL,NULL,"2021-09-04 08:15:51",NULL,NULL,"3e:5a:df:69:48:f9",NULL,NULL,NULL,NULL,"909090432.00","67455676416.00","55758.00","343758.00","12.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55758.00",NULL,"55758.00",NULL,NULL,NULL,NULL,"0",NULL,NULL
"8",NULL,,NULL,NULL,"2021-09-04 08:15:51",NULL,NULL,"3e:5a:df:69:48:f9",NULL,NULL,NULL,NULL,"909090432.00","67455676416.00","55758.00","343758.00","12.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55758.00",NULL,"55758.00",NULL,NULL,NULL,NULL,"0",NULL,NULL
"9",NULL,,NULL,NULL,"2021-09-04 08:15:51",NULL,NULL,"3e:5a:df:69:48:f9",NULL,NULL,NULL,NULL,"909090432.00","67455676416.00","55758.00","343758.00","12.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55758.00",NULL,"55758.00",NULL,NULL,NULL,NULL,"0",NULL,NULL
"10",NULL,,NULL,NULL,"2021-09-04 08:15:51",NULL,NULL,"3e:5a:df:69:48:f9",NULL,NULL,NULL,NULL,"909090432.00","67455676416.00","55758.00","343758.00","12.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55758.00",NULL,"55758.00",NULL,NULL,NULL,NULL,"0",NULL,NULL
